ID;age;Income;student;credit_rating;buys_computer
1;Young;high;no;Fair;no
2;Young;high;no;Excellent;no
3;Middle;high;no;Fair;yes
4;Old;medium;no;Fair;yes
5;Old;low;yes;Fair;yes
6;Old;low;yes;Excellent;no
7;Middle;low;yes;Excellent;yes
8;Young;medium;no;Fair;no
9;Young;low;yes;Fair;yes
10;Old;medium;yes;Fair;yes
11;Young;medium;yes;Excellent;yes
12;Middle;medium;no;Excellent;yes
13;Middle;high;yes;Fair;yes
14;Old;medium;no;Excellent;no
15;Young;medium;yes;Excellent;yes
16;Middle;low;yes;Excellent;no
17;Old;low;yes;Fair;yes
18;old;medium;no;Fair;no
19;Young;low;yes;Fair;yes
20;Old;medium;yes;Fair;no
21;Young;high;yes;Excellent;yes
22;Middle;medium;no;Excellent;no
23;Middle;high;yes;Fair;yes
24;Old;low;no;Fair;yes
